t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
64.5055,3947.55,3827.71,206425,206425,206425,1,NaN,NaN,0.00233194,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00114282
67.759,3945.06,3825.65,205337,205337,205337,1,NaN,NaN,0.00233579,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00114433
71.0299,3942.56,3823.59,204254,204254,204254,1,NaN,NaN,0.00233966,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00114585
74.318,3940.06,3821.52,203177,203177,203177,1,NaN,NaN,0.00234353,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00114737
77.6236,3937.57,3819.46,202105,202105,202105,1,NaN,NaN,0.00234741,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.0011489
80.9467,3935.07,3817.39,201039,201039,201039,1,NaN,NaN,0.0023513,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00115043
84.2874,3932.57,3815.32,199978,199978,199978,1,NaN,NaN,0.0023552,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00115197
87.6459,3930.07,3813.25,198922,198922,198922,1,NaN,NaN,0.0023591,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00115351
91.0222,3927.58,3811.18,197872,197872,197872,1,NaN,NaN,0.00236302,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00115506
94.4164,3925.08,3809.11,196828,196828,196828,1,NaN,NaN,0.00236694,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00115661
97.8286,3922.58,3807.03,195788,195788,195788,1,NaN,NaN,0.00237087,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00115816
101.259,3920.08,3804.96,194754,194754,194754,1,NaN,NaN,0.00237481,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00115972
104.708,3917.59,3802.88,193725,193725,193725,1,NaN,NaN,0.00237876,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00116129
108.174,3915.09,3800.8,192701,192701,192701,1,NaN,NaN,0.00238272,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00116286
111.66,3912.59,3798.72,191682,191682,191682,1,NaN,NaN,0.00238668,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00116443
115.164,3910.09,3796.64,190669,190669,190669,1,NaN,NaN,0.00239066,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00116601
118.686,3907.6,3794.55,189661,189661,189661,1,NaN,NaN,0.00239464,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00116759
122.227,3905.1,3792.47,188658,188658,188658,1,NaN,NaN,0.00239863,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00116918
125.787,3902.6,3790.38,187660,187660,187660,1,NaN,NaN,0.00240263,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00117078
